"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2019-12-31","USD","5085000","-44701000","-243026000","-127860000","-61560000","-409721000","-117017000","-77564000","162546000","-71487000","581260000","10359000","418593000","-153508000","-77636000","None","-33911000","65991000","115166000","-33911000","None","-71487000"
"2018-12-31","USD","8823000","-42124000","-275259000","8681000","-47310000","-306506000","-80875000","-158192000","342660000","143032000","724797000","-50989000","417325000","-154080000","-24241000","None","-45586000","101616000","283940000","-45586000","6747000","147884000"
"2017-12-31","USD","11142000","73072000","-317525000","-1089000","17119000","-356780000","-122585000","-170026000","247644000","3728000","678033000","-139637000","406794000","-154861000","-96453000","0","-108596000","193908000","316436000","-108596000","-1613000","-2733000"
"2016-12-31","USD","45959000","59555000","-445808000","-164120000","55132000","-190025000","-28146000","-165947000","246939000","63567000","699400000","-90328000","423597000","-144355000","-72656000","0","-12949000","53425000","327647000","-12949000","-1107000","42982000"
"2015-12-31","USD","11981000","26989000","-729041000","-163510000","291193000","93144000","-48097000","-188752000","548963000","-106690000","529207000","-154109000","358239000","-98596000","-51356000","0","10662000","-261301000","286697000","10662000","-6927000","165453000"
