"fiscalDateEnding","reportedCurrency","totalRevenue","totalOperatingExpense","costOfRevenue","grossProfit","ebit","netIncome","researchAndDevelopment","effectOfAccountingCharges","incomeBeforeTax","minorityInterest","sellingGeneralAdministrative","otherNonOperatingIncome","operatingIncome","otherOperatingExpense","interestExpense","taxProvision","interestIncome","netInterestIncome","extraordinaryItems","nonRecurring","otherItems","incomeTaxExpense","totalOtherIncomeExpense","discontinuedOperations","netIncomeFromContinuingOperations","netIncomeApplicableToCommonShares","preferredStockAndOtherAdjustments"
"2019-12-31","USD","3974988000","576568000","3035003000","939985000","356029000","158592000","None","None","199638000","3954000","576568000","-7388000","363417000","None","156391000","35326000","-154347000","-156391000","-1766000","None","None","35326000","-7388000","-1766000","164312000","158592000","None"
"2018-12-31","USD","3866956000","513526000","2791414000","1075542000","555430000","337531000","0","None","398413000","5129000","513526000","-6586000","562016000","None","157017000","57492000","-154461000","-157017000","28469000","None","None","57492000","-6586000","1739000","340921000","337531000","None"
"2017-12-31","USD","3598484000","591187000","2513857000","1084627000","377613000","242531000","0","None","377613000","5113000","510075000","-115827000","493440000","None","153925000","128037000","-151345000","-153925000","-48495000","81112000","None","128037000","-43014000","-1932000","249576000","242531000","None"
"2016-12-31","USD","3373387000","626153000","2287662000","1085725000","328035000","242562000","0","None","328035000","4377000","626153000","-131537000","459572000","None","158251000","86645000","-155471000","-158251000","5549000","81112000","None","86645000","26714000","5549000","241390000","242562000","None"
"2015-12-31","USD","2960896000","557077000","1944050000","1016846000","353907000","545482000","0","None","353907000","3481000","557077000","-105862000","459769000","None","10646000","119352000","-158456000","None","314408000","81112000","None","119352000","-146264000","314408000","234555000","545482000","None"
