"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2019-12-31","USD","-1436000000","1483000000","-1436000000","46000000","798000000","1529000000","-380000000","-1036000000","-862000000","2506000000","2405000000","None","2154000000","None","1285000000","-429000000","-367000000","1321000000","1437000000","None","None","None"
"2018-12-31","USD","-2337428000","1772252000","-2337428000","-236704000","5321228000","573755000","-5253014000","-551000000","-1062582000","334129000","2097802000","-145798000","2059780000","None","505541000","-1023264000","-496732000","994146000","2100724000","-496732000","None","334129000"
"2017-12-31","USD","-4418967000","857000000","-4196000000","46000000","3385000000","4414864000","371000000","-1150000000","-1961400000","-25302000","-60654000","-1417127000","1636003000","None","1009649000","-178850000","-24635000","671000000","4081354000","-24635000","39455000","-25302000"
"2016-12-31","USD","-1416430000","1133602000","-1081085000","46000000","1718190000","3743976000","160235000","-978031000","-674914000","2196308000","-123829000","-92517000","947099000","None","2045828000","-2465703000","-216565000","203157000","1440471000","-213097000","-7409000","2196308000"
"2015-12-31","USD","16667000","1088261000","-1673551000","-38701000","683937000","1523523000","-17025000","-755740000","-888663000","-674527000","-524499000","-53957000","494653000","0","839586000","-1573860000","46267000","362800000","1634850000","46267000","-34278000","-708805000"
