"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-06-30","USD","68500000","2665000","8399000","-59158000","9825000","44981000","-48000","1840000","-45892000","11760000","-41620000","-2487000","1036000","None","35204000","None","13000","3045000","943000","13000","None","11760000"
"2019-06-30","USD","94119000","931000","19027000","-74929000","-52000","68000","-36000","2239000","-2006000","-4362000","-23457000","-26757000","483000","None","156000","None","186000","3706000","163000","186000","None","-4362000"
"2018-06-30","USD","100900000","-16256000","33015000","-67223000","-43000","-136000","-102000","423000","-21300000","359000","-32520000","-1903000","1260000","0","-93000","0","-36000","5715000","662000","-36000","None","359000"
"2017-06-30","USD","101244000","-38915000","32811000","-67694000","-43000","28000","-102000","-592000","407000","1838000","-31001000","-240000","1314000","0","28000","0","780000","5653000","739000","780000","None","1838000"
"2016-06-30","USD","109968000","66867000","-100804000","-208301000","-43000","19494000","-102000","1501000","-1381000","-10319000","70991000","-478000","567000","0","19494000","0","409000","5007000","2471000","409000","None","-10319000"
