"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-01-31","USD","6648000000","276000000","6145000000","-503000000","None","-792000000","-402000000","159000000","2796000000","10114000000","4761000000","77000000","381000000","-390000000","0","597000000","-233000000","867000000","489000000","-233000000","None","10114000000"
"2019-01-31","USD","-3488000000","123000000","-4097000000","-609000000","-16000000","-2866000000","-900000000","203000000","4141000000","-3220000000","3743000000","-55000000","262000000","-371000000","-1579000000","-776000000","-149000000","197000000","600000000","-149000000","None","-3220000000"
"2018-01-31","USD","1278000000","90000000","1278000000","-627000000","-812000000","-2544000000","-9000000","535000000","3047000000","2236000000","3502000000","20000000","199000000","-341000000","-909000000","0","-440000000","71000000","593000000","-440000000","None","2236000000"
"2017-01-31","USD","-793000000","184000000","-793000000","-5000000","1315000000","291000000","-15000000","-167000000","1666000000","1170000000","1672000000","-21000000","187000000","-261000000","-739000000","-375000000","-321000000","498000000","176000000","-321000000","None","1170000000"
"2016-01-31","USD","-339000000","-69000000","-400000000","-61000000","-3000000","-676000000","7000000","-74000000","614000000","99000000","1175000000","23000000","226000000","-213000000","-467000000","66000000","-32000000","347000000","86000000","-32000000","None","99000000"
