"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2018-06-30","USD","7916000000","-649000000","3947000000","-702000000","-6011000000","-31523000000","-1077000000","-5340000000","11519000000","-13088000000","14488000000","988000000","2665000000","-3653000000","-20782000000","1693000000","233000000","2218000000","3267000000","-3946000000","None","-13088000000"
"2018-03-31","USD","32894000000","-26512000000","28710000000","11000000","-501000000","-26272000000","-152000000","20128000000","13822000000","17568000000","15130000000","-856000000","2739000000","-3190000000","-22429000000","-3241000000","9093000000","710000000","4195000000","28468000000","None","17568000000"
"2017-12-31","USD","-10517000000","52928000000","-13590000000","-263000000","6971000000","-7501000000","-1038000000","27692000000","20065000000","7202000000","28293000000","-197000000","2745000000","-3339000000","-10095000000","434000000","-5570000000","-32452000000","2810000000","-15230000000","None","7202000000"
"2017-09-30","USD","-5768000000","16944000000","-9942000000","-309000000","6923000000","-3996000000","-135000000","-8447000000","10714000000","1718000000","15656000000","-2089000000","2484000000","-3270000000","-7514000000","-1709000000","-2093000000","2352000000","3865000000","-13040000000","None","1718000000"
"2017-06-30","USD","-836000000","-1339000000","-3180000000","-67000000","9237000000","-1769000000","-549000000","-6325000000","8717000000","3414000000","8363000000","-2333000000","2354000000","-3365000000","-7092000000","-236000000","6693000000","3202000000","2277000000","-2002000000","None","3414000000"
"2017-03-31","USD","-11357000000","-11215000000","-14202000000","130000000","10469000000","465000000","-112000000","550000000","11029000000","-1214000000","12523000000","550000000","2332000000","-3004000000","-6888000000","-198000000","8695000000","2652000000","2975000000","7373000000","None","-1214000000"
"2016-12-31","USD","-15581000000","4448000000","-19122000000","-207000000","2385000000","-12047000000","-451000000","-1446000000","17891000000","-4113000000","27056000000","-1446000000","2987000000","-3130000000","-10851000000","-580000000","1322000000","2434000000","3334000000","1322000000","None","-4113000000"
"2016-09-30","USD","-3419000000","14398000000","-7397000000","-1000000","2581000000","-6482000000","-193000000","-902000000","9014000000","2247000000","16126000000","-53000000","2548000000","-3092000000","-5778000000","-301000000","1044000000","777000000","3977000000","-10257000000","None","2247000000"
"2016-06-30","USD","-1560000000","-4916000000","-4470000000","-101000000","4395000000","-9441000000","-483000000","957000000","7796000000","-3277000000","10634000000","-5056000000","2526000000","-3187000000","-10166000000","450000000","11301000000","3153000000","2809000000","6681000000","None","-3277000000"
"2016-03-31","USD","-10983000000","-10100000000","-13660000000","-341000000","16321000000","6884000000","-114000000","1358000000","10516000000","4825000000","11601000000","5266000000","2477000000","-2902000000","-6421000000","170000000","10519000000","2548000000","2336000000","724000000","None","4825000000"
"2015-12-31","USD","-16060000000","-1249000000","-20450000000","-778000000","-1240000000","-11444000000","-373000000","None","18361000000","-4431000000","27463000000","933000000","2954000000","-2969000000","-6862000000","-102000000","5722000000","2670000000","3612000000","3896000000","None","-4431000000"
