"fiscalDateEnding","reportedCurrency","totalRevenue","totalOperatingExpense","costOfRevenue","grossProfit","ebit","netIncome","researchAndDevelopment","effectOfAccountingCharges","incomeBeforeTax","minorityInterest","sellingGeneralAdministrative","otherNonOperatingIncome","operatingIncome","otherOperatingExpense","interestExpense","taxProvision","interestIncome","netInterestIncome","extraordinaryItems","nonRecurring","otherItems","incomeTaxExpense","totalOtherIncomeExpense","discontinuedOperations","netIncomeFromContinuingOperations","netIncomeApplicableToCommonShares","preferredStockAndOtherAdjustments"
"2020-06-30","USD","143015000000","43978000000","46078000000","96937000000","53036000000","44281000000","19269000000","None","53036000000","None","24709000000","77000000","52959000000","None","2591000000","8755000000","2680000000","-2591000000","None","None","None","8755000000","2668000000","None","44281000000","44281000000","None"
"2019-06-30","USD","125843000000","39974000000","42910000000","82933000000","43688000000","39240000000","16876000000","None","43688000000","None","23098000000","729000000","42959000000","None","2686000000","4448000000","812000000","-2686000000","-157000000","None","None","4448000000","3415000000","None","39240000000","39240000000","None"
"2018-06-30","USD","110360000000","36949000000","38353000000","72007000000","36474000000","16571000000","14726000000","None","36474000000","None","22223000000","1416000000","35058000000","None","2733000000","19903000000","1522000000","-2733000000","-13700000000","None","None","19903000000","4149000000","None","16571000000","16571000000","None"
"2017-06-30","USD","89950000000","33363000000","34261000000","55689000000","23149000000","21204000000","13037000000","None","23149000000","None","20020000000","823000000","22326000000","306000000","2222000000","1945000000","1182000000","-2222000000","None","306000000","None","1945000000","2739000000","None","21204000000","21204000000","None"
"2016-06-30","USD","85320000000","32358000000","32780000000","52540000000","19751000000","16798000000","11988000000","None","19751000000","None","19260000000","-431000000","20182000000","1110000000","1243000000","5100000000","78000000","-1243000000","None","1110000000","None","2953000000","-298000000","None","16798000000","16798000000","None"
