"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-06-30","USD","-10741000000","2081000000","-12223000000","13959000000","-8935000000","-46031000000","-334000000","-673000000","44281000000","2421000000","60675000000","-1155000000","12796000000","-15137000000","-21625000000","168000000","-2577000000","5081000000","15441000000","-2577000000","-201000000","2220000000"
"2019-06-30","USD","-37654000000","5171000000","-15773000000","35806000000","-4000000000","-36887000000","-675000000","-1542000000","39240000000","-475000000","52185000000","910000000","11682000000","-13811000000","-18401000000","597000000","-2812000000","-2603000000","13925000000","-2812000000","-115000000","-590000000"
"2018-06-30","USD","6557000000","20109000000","-6061000000","-986000000","-10201000000","-33590000000","-971000000","-459000000","16571000000","4233000000","43884000000","4685000000","10261000000","-12699000000","-9719000000","-465000000","-3862000000","-3415000000","11632000000","-3862000000","50000000","4283000000"
"2017-06-30","USD","-12511000000","69711000000","-46781000000","-26141000000","31459000000","8408000000","-190000000","349000000","21204000000","1134000000","39507000000","527000000","-48957000000","-11845000000","-11016000000","50000000","-925000000","-2103000000","8129000000","-925000000","19000000","1153000000"
"2016-06-30","USD","-14417000000","56134000000","-23950000000","-1190000000","18283000000","-8393000000","-369000000","-2907000000","16798000000","982000000","33325000000","-1208000000","-41876000000","-11006000000","-15301000000","600000000","-530000000","3407000000","8343000000","-530000000","-67000000","915000000"
