"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-12-31","USD","-658000000","-74000000","-952000000","None","None","6000000","-79000000","218000000","2490000000","125000000","1071000000","-179000000","326000000","None","85000000","-417000000","-219000000","-856000000","294000000","-219000000","None","125000000"
"2019-12-31","USD","66000000","380000000","-149000000","2000000","-473000000","43000000","-7000000","-155000000","341000000","387000000","493000000","-126000000","252000000","None","523000000","-137000000","-623000000","406000000","217000000","-623000000","None","387000000"
"2018-12-31","USD","-7000000","328000000","-170000000","71000000","-41000000","28000000","-1000000","-63000000","337000000","-108000000","34000000","-98000000","208000000","None","70000000","-151000000","-806000000","216000000","163000000","-806000000","None","-108000000"
"2017-12-31","USD","1000000","-46000000","-114000000","-2000000","-40000000","-33000000","-13000000","-130000000","43000000","-79000000","68000000","-141000000","180000000","0","20000000","12000000","-89000000","109000000","113000000","-89000000","None","-79000000"
"2016-12-31","USD","342000000","196000000","267000000","2000000","-561000000","122000000","-4000000","-24000000","-497000000","479000000","90000000","-165000000","154000000","0","687000000","-73000000","222000000","253000000","77000000","222000000","None","479000000"
