"fiscalDateEnding","reportedCurrency","totalRevenue","totalOperatingExpense","costOfRevenue","grossProfit","ebit","netIncome","researchAndDevelopment","effectOfAccountingCharges","incomeBeforeTax","minorityInterest","sellingGeneralAdministrative","otherNonOperatingIncome","operatingIncome","otherOperatingExpense","interestExpense","taxProvision","interestIncome","netInterestIncome","extraordinaryItems","nonRecurring","otherItems","incomeTaxExpense","totalOtherIncomeExpense","discontinuedOperations","netIncomeFromContinuingOperations","netIncomeApplicableToCommonShares","preferredStockAndOtherAdjustments"
"2019-12-31","USD","20393000000","10888000000","3412000000","16981000000","6699000000","-985000000","None","None","186000000","145000000","3014000000","606000000","6093000000","5981000000","1066000000","693000000","217000000","-849000000","-15000000","1893000000","None","693000000","-1780000000","-15000000","-507000000","-985000000","None"
"2018-12-31","USD","17824000000","4526000000","6568000000","11256000000","7061000000","4131000000","0","None","5277000000","None","439000000","331000000","6730000000","3977000000","389000000","1477000000","136000000","-253000000","25000000","110000000","None","1477000000","413000000","-15000000","4131000000","4131000000","None"
"2017-12-31","USD","12508000000","4395000000","5594000000","6914000000","2876000000","1311000000","0","None","971000000","None","311000000","357000000","2519000000","4002000000","345000000","17000000","99000000","-246000000","10000000","82000000","None","17000000","122000000","-15000000","1311000000","1311000000","None"
"2016-12-31","USD","10090000000","4607000000","5189000000","4901000000","475000000","-574000000","0","None","-1845000000","None","277000000","181000000","294000000","4268000000","292000000","-662000000","106000000","-186000000","428000000","62000000","None","-662000000","-623000000","428000000","-1002000000","-574000000","None"
"2015-12-31","USD","12480000000","1270000000","5804000000","6676000000","5614000000","-7829000000","0","None","-9684000000","None","343000000","208000000","5406000000","4544000000","147000000","-1330000000","-46000000","None","317000000","36000000","None","-1330000000","-4935000000","317000000","-8146000000","-7829000000","None"
