"fiscalDateEnding","reportedCurrency","totalRevenue","totalOperatingExpense","costOfRevenue","grossProfit","ebit","netIncome","researchAndDevelopment","effectOfAccountingCharges","incomeBeforeTax","minorityInterest","sellingGeneralAdministrative","otherNonOperatingIncome","operatingIncome","otherOperatingExpense","interestExpense","taxProvision","interestIncome","netInterestIncome","extraordinaryItems","nonRecurring","otherItems","incomeTaxExpense","totalOtherIncomeExpense","discontinuedOperations","netIncomeFromContinuingOperations","netIncomeApplicableToCommonShares","preferredStockAndOtherAdjustments"
"2020-05-31","USD","542339000","539662000","351364000","190975000","2930000","-84634000","2568000","None","-80717000","25807000","163983000","None","2677000","None","34376000","3917000","8029000","-26347000","None","None","None","3917000","-57047000","None","-84634000","-84634000","None"
"2019-05-31","USD","237110000","300967000","161689000","75421000","15070000","-16499000","1391000","0","-15645000","28409000","123803000","0","-63857000","0","7775000","854000","14350000","6575000","0","0","0","854000","41637000","0","-16499000","-16499000","0"
"2018-05-31","USD","36917000","44153000","-3970000","40887000","43884000","29448000","490000","0","35856000","9580000","43648000","0","-7236000","0","1350000","6408000","6362000","5012000","0","0","0","6408000","38080000","0","29448000","29448000","0"
"2017-05-31","USD","20438483","18330445","3140950","17297533","6660892","4198455","492425","0","4332217","9580000","13741027","0","2108038","0","387099","133762","1115348","728249","0","0","0","134000","1495930","0","4198455","4198000","0"
"2016-05-31","CAD","8433930","9524590","2451860","5982070","-138483","397960","220408","0","-802040","9580000","6485920","0","-1090660","0","-387000","-1200000","281500","281497","0","0","0","-1200000","7125","0","397961","397960","0"
