"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-05-31","USD","-93764000","59745000","-93764000","26000000","68966000","173945000","None","-24515000","-84634000","-53575000","-133756000","None","49271000","None","None","-119678000","-34308000","16675000","132423000","None","None","None"
"2019-05-31","USD","-177885000","691000","-177885000","-10949000","470853000","724550000","0","-11607000","-16499000","491060000","-55605000","0","22940000","0","253697000","-22151000","12458000","-40555000","205965000","0","0","0"
"2018-05-31","USD","-220870000","3764000","-220870000","-13361000","-7622000","206346000","10296000","-7995000","29448000","-20173000","-5649000","0","6678000","0","203672000","-7045000","-1797000","-31364000","216699000","0","0","0"
"2017-05-31","USD","-202027179","4534000","-202027000","-932000","32181000","260139365","-464000","-9472000","4198455","63437751","5325000","0","1941576","0","228422410","6618200","953168","113000","67722425","0","0","0"
"2016-05-31","CAD","-5970982","319269","-5970980","-1491220","32181000","16379870","178450","639690","397960","9420760","-988130","0","952180","0","16379870","-369249","-1778679","-740165","4479760","0","0","0"
