"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-12-31","USD","None","None","None","None","None","None","None","None","4495000000","None","None","None","None","None","None","None","None","None","0","None","None","None"
"2019-12-31","USD","-82000000","-325000000","-1815000000","-95000000","-1599000000","-4289000000","None","-138000000","3687000000","32000000","6136000000","46000000","3014000000","-2270000000","-420000000","-593000000","-275000000","582000000","1638000000","-275000000","None","32000000"
"2018-12-31","USD","-58000000","533000000","-1356000000","96000000","-8450000000","-10391000000","None","23000000","2368000000","-5447000000","6300000000","181000000","3278000000","-1974000000","33000000","-514000000","-190000000","644000000","1394000000","-190000000","None","-5447000000"
"2017-12-31","USD","2623000000","1764000000","-9618000000","-11106000000","-2942000000","-5281000000","-13000000","109000000","477000000","-9329000000","5570000000","1063000000","3026000000","-1849000000","-477000000","249000000","-207000000","-802000000","1135000000","-207000000","116000000","-9213000000"
"2016-12-31","USD","886000000","-1351000000","-248000000","-13000000","12985000000","11147000000","-25000000","113000000","1400000000","14102000000","3203000000","199000000","1518000000","-1539000000","-274000000","-98000000","-177000000","1712000000","1121000000","-177000000","-483000000","13619000000"
