"fiscalDateEnding","reportedCurrency","totalRevenue","totalOperatingExpense","costOfRevenue","grossProfit","ebit","netIncome","researchAndDevelopment","effectOfAccountingCharges","incomeBeforeTax","minorityInterest","sellingGeneralAdministrative","otherNonOperatingIncome","operatingIncome","otherOperatingExpense","interestExpense","taxProvision","interestIncome","netInterestIncome","extraordinaryItems","nonRecurring","otherItems","incomeTaxExpense","totalOtherIncomeExpense","discontinuedOperations","netIncomeFromContinuingOperations","netIncomeApplicableToCommonShares","preferredStockAndOtherAdjustments"
"2020-12-31","USD","34608000000","29251000000","15003000000","19605000000","7600000000","4495000000","2420000000","None","4968000000","None","9696000000","None","5357000000","None","500000000","497000000","-492000000","-500000000","24000000","None","None","497000000","111000000","24000000","4471000000","4495000000","None"
"2019-12-31","USD","31904000000","14141000000","13231000000","18673000000","4747000000","3687000000","2440000000","None","4077000000","213000000","9765000000","215000000","4532000000","1936000000","670000000","390000000","94000000","-576000000","86000000","None","None","390000000","121000000","24000000","3687000000","3687000000","None"
"2018-12-31","USD","30578000000","26928000000","12706000000","17872000000","6977000000","2368000000","2300000000","None","2873000000","198000000","9744000000","49000000","3650000000","2178000000","826000000","539000000","105000000","-721000000","-96000000","None","None","539000000","-56000000","34000000","2334000000","2353000000","None"
"2017-12-31","USD","27390000000","13327000000","12337000000","15053000000","3135000000","477000000","2235000000","None","2231000000","201000000","9117000000","1409000000","1726000000","1975000000","904000000","1878000000","124000000","-780000000","-1336000000","None","None","1878000000","1285000000","124000000","353000000","477000000","None"
"2016-12-31","USD","20853000000","8644000000","9024000000","11829000000","1844000000","1400000000","1422000000","None","1413000000","179000000","6672000000","-1341000000","3185000000","550000000","431000000","350000000","99000000","-332000000","337000000","None","None","350000000","-1440000000","337000000","1063000000","1400000000","None"
