"fiscalDateEnding","reportedCurrency","totalRevenue","totalOperatingExpense","costOfRevenue","grossProfit","ebit","netIncome","researchAndDevelopment","effectOfAccountingCharges","incomeBeforeTax","minorityInterest","sellingGeneralAdministrative","otherNonOperatingIncome","operatingIncome","otherOperatingExpense","interestExpense","taxProvision","interestIncome","netInterestIncome","extraordinaryItems","nonRecurring","otherItems","incomeTaxExpense","totalOtherIncomeExpense","discontinuedOperations","netIncomeFromContinuingOperations","netIncomeApplicableToCommonShares","preferredStockAndOtherAdjustments"
"2019-12-31","USD","4111930","115220475","86117319","4111930","-109770016","-119359219","88017319","None","-120809112","-1192558","27203156","1338529","-111108545","None","7948539","-257335","2605981","-5342558","None","None","None","-300000","-4358009","None","-120509112","-119359219","None"
"2018-12-31","USD","30481897","124573035","95257876","30481897","-92809452","-96968019","95257876","None","-94798019","96269","29315159","1281686","-94091138","None","-7948539","2169811","-706880","920891","None","None","None","2170000","-1627772","None","-96968019","-96968019","None"
"2017-12-31","USD","42220086","125862987","98572618","42220086","-81223108","-88205772","98572618","None","-88205772","96269","28290369","2419793","-83642901","-1000000","-25933","None","1612974","1612974","None","None","None","0","-5175845","None","-88205772","-88205772","None"
"2016-12-31","USD","35368361","111604298","88712035","35368361","-74851126","-73740339","88712035","None","-73740339","96269","23892263","1384811","-76235937","-1000000","-25933","0","2495600","1257257","None","None","None","0","2238341","None","-73740339","-73740339","None"
"2015-12-31","USD","40572110","75855813","57791923","40572111","-35283702","-29187610","57792000","None","-31200600","84769","18063890","482632","-34283700","-1000000","0","-2097770","3083100","None","None","None","None","-2097766","4083099","None","-29102837","-29187610","None"
