"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-12-31","TWD","None","0","-505782000000","543000000","173354000000","-88615000000","-2665000000","-38880000000","584777000000","204772000000","822667000000","None","331725000000","-259304000000","None","None","None","11937000000","507239000000","None","None","None"
"2019-12-31","TWD","-458801600000","5860068000","-458801647000","21447064000","-6026287000","-269638166000","-4308074000","2260697000","389845336000","-122415265000","615138744000","0","281411832000","-259303805000","0","20249800000","-18119600000","-27831250000","469752019000","0","0","0"
"2018-12-31","TWD","-314268900000","4540583000","-314268908000","17961841000","-34101925000","-245124791000","-3579822000","-24643943000","397510263000","24422905000","573954308000","0","288124897000","-207443044000","0","-29370000000","-13271300000","-8058096000","322682187000","0","0","0"
"2017-12-31","TWD","-336164900000","2572100000","-336164900000","15688300000","-27737100000","-215697629000","-6447800000","26143300000","396133030000","12137863000","585318200000","0","255795962000","-181512663000","0","-25229100000","1061800000","-29801400000","335068776000","0","0","0"
"2016-12-31","TWD","-395439700000","7295400000","-395439700000","14247000000","-4511200000","-157800197000","2293300000","15407700000","385959380000","-21435097000","539834600000","0","220084998000","-155582283000","0","18370100000","-49342700000","-647600000","332288357000","0","0","0"
