"fiscalDateEnding","reportedCurrency","investments","changeInLiabilities","cashflowFromInvestment","otherCashflowFromInvestment","netBorrowings","cashflowFromFinancing","otherCashflowFromFinancing","changeInOperatingActivities","netIncome","changeInCash","operatingCashflow","otherOperatingCashflow","depreciation","dividendPayout","stockSaleAndPurchase","changeInInventory","changeInAccountReceivables","changeInNetIncome","capitalExpenditures","changeInReceivables","changeInExchangeRate","changeInCashAndCashEquivalents"
"2020-02-29","USD","18832000","-160647000","558846000","621935000","-300000000","-853949000","-177380000","-216443000","1584391000","65194000","360297000","-734368000","163421000","-159573000","-216996000","12759000","11244000","-516503000","81921000","11244000","None","65194000"
"2019-02-28","USD","796925000","31260000","-1752553000","-2473557000","1124927000","849737000","-124096000","26743000","-179094000","-306072000","596744000","395480000","135961000","-148081000","-3013000","4348000","-99044000","307833000","75921000","-99044000","None","-306072000"
"2018-02-28","USD","39521000","-25170000","39521000","172029000","1136477000","-536244000","-42881000","-70359000","520831000","74390000","571113000","None","87057000","-119251000","-527574000","-12160000","54989000","7368000","45138000","None","None","None"
"2017-02-28","USD","161595000","-14081000","161595000","16000","1136477000","-267248000","-20928000","-712396000","21151000","-464088000","-358435000","-670953000","118492000","-122292000","-181564000","29325000","-12084000","211158000","54819000","-12084000","None","-464088000"
"2016-02-29","USD","247414000","-166836000","201690000","1771000","1136477000","-339839000","-36860000","664251000","-811400000","67203000","205352000","745014000","108288000","-122821000","-180158000","90586000","97655000","142045000","47495000","97655000","None","67203000"
